[BUSQUEDA RUTAS] 2246 tareas de busqueda paralela completadas [2291ms]
[BUSQUEDA RUTAS] 712 tareas de busqueda paralela completadas [48ms]
  [DIAG-ALNS] PAQUETES INCOMPLETOS: 6712
    [SIN RUTAS CANDIDATAS] 6712 paquetes (rutas fuera de deadline o ventana):
      EBCI-000008482 | EBCI→LOWW | cant=1 | creado=2026-06-21T18:06 | deadline=2026-06-22T18:06

      LBSF-000007526 | LBSF→SEQM | cant=1 | creado=2026-06-19T06:07 | deadline=2026-06-21T06:07

      LBSF-000007527 | LBSF→SEQM | cant=1 | creado=2026-06-19T06:14 | deadline=2026-06-21T06:14

      LBSF-000007528 | LBSF→SVMI | cant=1 | creado=2026-06-19T06:21 | deadline=2026-06-21T06:21

      LBSF-000007529 | LBSF→SABE | cant=1 | creado=2026-06-19T06:31 | deadline=2026-06-21T06:31

      LBSF-000007530 | LBSF→SABE | cant=1 | creado=2026-06-19T06:40 | deadline=2026-06-21T06:40

      LBSF-000007531 | LBSF→SCEL | cant=1 | creado=2026-06-19T06:50 | deadline=2026-06-21T06:50

      LBSF-000007532 | LBSF→OMDB | cant=1 | creado=2026-06-19T06:58 | deadline=2026-06-21T06:58

      LBSF-000007533 | LBSF→SKBO | cant=1 | creado=2026-06-19T07:05 | deadline=2026-06-21T07:05

      LBSF-000007534 | LBSF→OJAI | cant=1 | creado=2026-06-19T07:12 | deadline=2026-06-21T07:12

      LBSF-000007535 | LBSF→SABE | cant=1 | creado=2026-06-19T07:23 | deadline=2026-06-21T07:23

      LBSF-000007536 | LBSF→OAKB | cant=1 | creado=2026-06-19T07:30 | deadline=2026-06-21T07:30

      LBSF-000007537 | LBSF→EBCI | cant=1 | creado=2026-06-19T07:42 | deadline=2026-06-20T07:42

      LBSF-000007538 | LBSF→OSDI | cant=1 | creado=2026-06-19T07:55 | deadline=2026-06-21T07:55

      LBSF-000007539 | LBSF→UBBB | cant=1 | creado=2026-06-19T07:57 | deadline=2026-06-21T07:57

      LBSF-000007540 | LBSF→UBBB | cant=1 | creado=2026-06-19T08:13 | deadline=2026-06-21T08:13

      LBSF-000007541 | LBSF→LDZA | cant=1 | creado=2026-06-19T08:18 | deadline=2026-06-20T08:18

      LBSF-000007542 | LBSF→SCEL | cant=1 | creado=2026-06-19T08:25 | deadline=2026-06-21T08:25

      LBSF-000007543 | LBSF→SGAS | cant=1 | creado=2026-06-19T08:39 | deadline=2026-06-21T08:39

      LBSF-000007544 | LBSF→SCEL | cant=1 | creado=2026-06-19T08:46 | deadline=2026-06-21T08:46

      LBSF-000007545 | LBSF→OOMS | cant=1 | creado=2026-06-19T08:53 | deadline=2026-06-21T08:53

      LBSF-000007546 | LBSF→SUAA | cant=1 | creado=2026-06-19T09:05 | deadline=2026-06-21T09:05

      LBSF-000007547 | LBSF→SBBR | cant=1 | creado=2026-06-19T09:14 | deadline=2026-06-21T09:14

      LBSF-000007548 | LBSF→OPKC | cant=1 | creado=2026-06-19T09:24 | deadline=2026-06-21T09:24

      LBSF-000007549 | LBSF→SBBR | cant=1 | creado=2026-06-19T09:32 | deadline=2026-06-21T09:32

      LBSF-000007550 | LBSF→SUAA | cant=1 | creado=2026-06-19T09:38 | deadline=2026-06-21T09:38

      LBSF-000007551 | LBSF→EBCI | cant=1 | creado=2026-06-19T09:50 | deadline=2026-06-20T09:50

      LBSF-000007552 | LBSF→UBBB | cant=1 | creado=2026-06-19T09:01 | deadline=2026-06-21T09:01

      LBSF-000007553 | LBSF→UMMS | cant=1 | creado=2026-06-19T10:12 | deadline=2026-06-20T10:12

      LBSF-000007554 | LBSF→OSDI | cant=1 | creado=2026-06-19T10:21 | deadline=2026-06-21T10:21

      LBSF-000007555 | LBSF→EBCI | cant=1 | creado=2026-06-19T10:22 | deadline=2026-06-20T10:22

      LBSF-000007556 | LBSF→SUAA | cant=1 | creado=2026-06-19T10:37 | deadline=2026-06-21T10:37

      LBSF-000007557 | LBSF→UMMS | cant=1 | creado=2026-06-19T10:47 | deadline=2026-06-20T10:47

      LBSF-000007558 | LBSF→LOWW | cant=1 | creado=2026-06-19T10:54 | deadline=2026-06-20T10:54

      LBSF-000007559 | LBSF→SCEL | cant=1 | creado=2026-06-19T10:59 | deadline=2026-06-21T10:59

      LBSF-000007560 | LBSF→SLLP | cant=1 | creado=2026-06-19T11:11 | deadline=2026-06-21T11:11

      LBSF-000007561 | LBSF→OOMS | cant=1 | creado=2026-06-19T11:22 | deadline=2026-06-21T11:22

      LBSF-000007562 | LBSF→SEQM | cant=1 | creado=2026-06-19T11:27 | deadline=2026-06-21T11:27

      LBSF-000007563 | LBSF→LKPR | cant=1 | creado=2026-06-19T11:36 | deadline=2026-06-20T11:36

      LBSF-000007564 | LBSF→EBCI | cant=1 | creado=2026-06-19T11:50 | deadline=2026-06-20T11:50

      LBSF-000007565 | LBSF→LKPR | cant=1 | creado=2026-06-19T11:54 | deadline=2026-06-20T11:54

      LBSF-000007566 | LBSF→UMMS | cant=1 | creado=2026-06-19T12:08 | deadline=2026-06-20T12:08

      LBSF-000007567 | LBSF→SBBR | cant=1 | creado=2026-06-19T12:17 | deadline=2026-06-21T12:17

      LBSF-000007568 | LBSF→SBBR | cant=1 | creado=2026-06-19T12:21 | deadline=2026-06-21T12:21

      LBSF-000007569 | LBSF→SVMI | cant=1 | creado=2026-06-19T12:32 | deadline=2026-06-21T12:32

      LBSF-000007570 | LBSF→SUAA | cant=1 | creado=2026-06-19T12:38 | deadline=2026-06-21T12:38

      LBSF-000007571 | LBSF→OSDI | cant=1 | creado=2026-06-19T12:53 | deadline=2026-06-21T12:53

      LBSF-000007572 | LBSF→UMMS | cant=1 | creado=2026-06-19T12:54 | deadline=2026-06-20T12:54

      LBSF-000007573 | LBSF→SKBO | cant=1 | creado=2026-06-19T13:05 | deadline=2026-06-21T13:05

      LBSF-000007574 | LBSF→OSDI | cant=1 | creado=2026-06-19T13:14 | deadline=2026-06-21T13:14

      LBSF-000007575 | LBSF→EDDI | cant=1 | creado=2026-06-19T13:21 | deadline=2026-06-20T13:21

      LBSF-000007576 | LBSF→SGAS | cant=1 | creado=2026-06-19T13:30 | deadline=2026-06-21T13:30

      LBSF-000007577 | LBSF→EKCH | cant=1 | creado=2026-06-19T13:42 | deadline=2026-06-20T13:42

      LBSF-000007578 | LBSF→OPKC | cant=1 | creado=2026-06-19T13:57 | deadline=2026-06-21T13:57

      LBSF-000007579 | LBSF→LATI | cant=1 | creado=2026-06-19T13:58 | deadline=2026-06-20T13:58

      LBSF-000007580 | LBSF→UBBB | cant=1 | creado=2026-06-19T14:12 | deadline=2026-06-21T14:12

      LBSF-000007581 | LBSF→SUAA | cant=1 | creado=2026-06-19T14:19 | deadline=2026-06-21T14:19

      LBSF-000007582 | LBSF→SUAA | cant=1 | creado=2026-06-19T14:24 | deadline=2026-06-21T14:24

      LBSF-000007583 | LBSF→OYSN | cant=1 | creado=2026-06-19T14:37 | deadline=2026-06-21T14:37

      LBSF-000007584 | LBSF→OERK | cant=1 | creado=2026-06-19T14:47 | deadline=2026-06-21T14:47

      LBSF-000007585 | LBSF→SPIM | cant=1 | creado=2026-06-19T14:58 | deadline=2026-06-21T14:58

      LBSF-000007586 | LBSF→SLLP | cant=1 | creado=2026-06-19T15:03 | deadline=2026-06-21T15:03

      LBSF-000007587 | LBSF→LATI | cant=1 | creado=2026-06-19T15:18 | deadline=2026-06-20T15:18

      LBSF-000007588 | LBSF→OYSN | cant=1 | creado=2026-06-19T15:18 | deadline=2026-06-21T15:18

      LBSF-000007589 | LBSF→UBBB | cant=1 | creado=2026-06-19T15:28 | deadline=2026-06-21T15:28

      LBSF-000007590 | LBSF→SGAS | cant=1 | creado=2026-06-19T15:38 | deadline=2026-06-21T15:38

      LBSF-000007591 | LBSF→UBBB | cant=1 | creado=2026-06-19T15:48 | deadline=2026-06-21T15:48

      LBSF-000007592 | LBSF→UBBB | cant=1 | creado=2026-06-19T15:55 | deadline=2026-06-21T15:55

      LBSF-000007593 | LBSF→OOMS | cant=1 | creado=2026-06-19T16:08 | deadline=2026-06-21T16:08

      LBSF-000007594 | LBSF→OOMS | cant=1 | creado=2026-06-19T16:19 | deadline=2026-06-21T16:19

      LBSF-000007595 | LBSF→SBBR | cant=1 | creado=2026-06-19T16:23 | deadline=2026-06-21T16:23

      LBSF-000007596 | LBSF→SEQM | cant=1 | creado=2026-06-19T16:35 | deadline=2026-06-21T16:35

      LBSF-000007597 | LBSF→OPKC | cant=1 | creado=2026-06-19T16:41 | deadline=2026-06-21T16:41

      LBSF-000007598 | LBSF→SUAA | cant=1 | creado=2026-06-19T16:49 | deadline=2026-06-21T16:49

      LBSF-000007599 | LBSF→SABE | cant=1 | creado=2026-06-19T16:58 | deadline=2026-06-21T16:58

      LBSF-000007600 | LBSF→EKCH | cant=1 | creado=2026-06-19T17:09 | deadline=2026-06-20T17:09

      LBSF-000007601 | LBSF→EDDI | cant=1 | creado=2026-06-19T17:19 | deadline=2026-06-20T17:19

      LBSF-000007602 | LBSF→OERK | cant=1 | creado=2026-06-19T17:29 | deadline=2026-06-21T17:29

      LBSF-000007603 | LBSF→UBBB | cant=4 | creado=2026-06-19T21:31 | deadline=2026-06-21T21:31

      LBSF-000007604 | LBSF→LDZA | cant=4 | creado=2026-06-19T22:06 | deadline=2026-06-20T22:06

      LBSF-000007605 | LBSF→LOWW | cant=4 | creado=2026-06-19T22:31 | deadline=2026-06-20T22:31

      LBSF-000007606 | LBSF→SCEL | cant=4 | creado=2026-06-19T23:01 | deadline=2026-06-21T23:01

      LBSF-000007607 | LBSF→LATI | cant=4 | creado=2026-06-19T23:37 | deadline=2026-06-20T23:37

      LBSF-000007608 | LBSF→VIDP | cant=4 | creado=2026-06-20T00:06 | deadline=2026-06-22T00:06

      LBSF-000007609 | LBSF→EDDI | cant=4 | creado=2026-06-20T00:34 | deadline=2026-06-21T00:34

      LBSF-000007610 | LBSF→UMMS | cant=4 | creado=2026-06-20T01:06 | deadline=2026-06-21T01:06

      LBSF-000007611 | LBSF→SVMI | cant=4 | creado=2026-06-20T01:32 | deadline=2026-06-22T01:32

      LBSF-000007612 | LBSF→EDDI | cant=4 | creado=2026-06-20T02:09 | deadline=2026-06-21T02:09

      LBSF-000007613 | LBSF→VIDP | cant=4 | creado=2026-06-20T02:37 | deadline=2026-06-22T02:37

      LBSF-000007614 | LBSF→SPIM | cant=4 | creado=2026-06-20T03:00 | deadline=2026-06-22T03:00

      LBSF-000007615 | LBSF→VIDP | cant=4 | creado=2026-06-20T03:34 | deadline=2026-06-22T03:34

      LBSF-000007616 | LBSF→EDDI | cant=4 | creado=2026-06-20T04:00 | deadline=2026-06-21T04:00

      LBSF-000007617 | LBSF→EKCH | cant=4 | creado=2026-06-20T04:33 | deadline=2026-06-21T04:33

      LBSF-000007618 | LBSF→UMMS | cant=4 | creado=2026-06-20T05:09 | deadline=2026-06-21T05:09

      LBSF-000007619 | LBSF→LOWW | cant=4 | creado=2026-06-20T05:38 | deadline=2026-06-21T05:38

      LBSF-000007620 | LBSF→OAKB | cant=4 | creado=2026-06-20T06:00 | deadline=2026-06-22T06:00

      LBSF-000007621 | LBSF→UMMS | cant=4 | creado=2026-06-20T06:38 | deadline=2026-06-21T06:38

      LBSF-000007622 | LBSF→SVMI | cant=4 | creado=2026-06-20T07:07 | deadline=2026-06-22T07:07

      LBSF-000007623 | LBSF→OAKB | cant=4 | creado=2026-06-20T07:33 | deadline=2026-06-22T07:33

      LBSF-000007624 | LBSF→SEQM | cant=4 | creado=2026-06-20T08:03 | deadline=2026-06-22T08:03

      LBSF-000007625 | LBSF→SBBR | cant=4 | creado=2026-06-20T08:36 | deadline=2026-06-22T08:36

      LBSF-000007626 | LBSF→OYSN | cant=4 | creado=2026-06-20T09:01 | deadline=2026-06-22T09:01

      LBSF-000007627 | LBSF→SCEL | cant=4 | creado=2026-06-20T09:30 | deadline=2026-06-22T09:30

      LBSF-000007628 | LBSF→UMMS | cant=4 | creado=2026-06-20T10:05 | deadline=2026-06-21T10:05

      LBSF-000007629 | LBSF→EKCH | cant=4 | creado=2026-06-20T10:33 | deadline=2026-06-21T10:33

      LBSF-000007630 | LBSF→LATI | cant=4 | creado=2026-06-20T11:01 | deadline=2026-06-21T11:01

      LBSF-000007631 | LBSF→SUAA | cant=4 | creado=2026-06-20T11:31 | deadline=2026-06-22T11:31

      LBSF-000007632 | LBSF→SPIM | cant=3 | creado=2026-06-20T12:07 | deadline=2026-06-22T12:07

      LBSF-000007633 | LBSF→EKCH | cant=3 | creado=2026-06-20T12:37 | deadline=2026-06-21T12:37

      LBSF-000007634 | LBSF→EHAM | cant=3 | creado=2026-06-20T13:04 | deadline=2026-06-21T13:04

      LBSF-000007635 | LBSF→UMMS | cant=3 | creado=2026-06-20T13:37 | deadline=2026-06-21T13:37

      LBSF-000007636 | LBSF→OAKB | cant=3 | creado=2026-06-20T14:09 | deadline=2026-06-22T14:09

      LBSF-000007637 | LBSF→OMDB | cant=3 | creado=2026-06-20T14:39 | deadline=2026-06-22T14:39

      LBSF-000007638 | LBSF→SABE | cant=3 | creado=2026-06-20T15:00 | deadline=2026-06-22T15:00

      LBSF-000007639 | LBSF→UBBB | cant=1 | creado=2026-06-20T15:31 | deadline=2026-06-22T15:31

      LBSF-000007640 | LBSF→OSDI | cant=2 | creado=2026-06-20T21:22 | deadline=2026-06-22T21:22

      LBSF-000007641 | LBSF→OERK | cant=2 | creado=2026-06-20T21:38 | deadline=2026-06-22T21:38

      LBSF-000007642 | LBSF→OAKB | cant=2 | creado=2026-06-20T21:51 | deadline=2026-06-22T21:51

      LBSF-000007643 | LBSF→EHAM | cant=2 | creado=2026-06-20T22:09 | deadline=2026-06-21T22:09

      LBSF-000007644 | LBSF→SEQM | cant=2 | creado=2026-06-20T22:20 | deadline=2026-06-22T22:20

      LBSF-000007645 | LBSF→OAKB | cant=2 | creado=2026-06-20T22:41 | deadline=2026-06-22T22:41

      LBSF-000007646 | LBSF→SBBR | cant=2 | creado=2026-06-20T22:58 | deadline=2026-06-22T22:58

      LBSF-000007647 | LBSF→OPKC | cant=2 | creado=2026-06-20T23:16 | deadline=2026-06-22T23:16

      LBSF-000007648 | LBSF→OJAI | cant=2 | creado=2026-06-20T23:32 | deadline=2026-06-22T23:32

      LBSF-000007649 | LBSF→OERK | cant=2 | creado=2026-06-20T23:42 | deadline=2026-06-22T23:42

      LBSF-000007650 | LBSF→OJAI | cant=2 | creado=2026-06-20T23:58 | deadline=2026-06-22T23:58

      LBSF-000007651 | LBSF→LOWW | cant=2 | creado=2026-06-21T00:20 | deadline=2026-06-22T00:20

      LBSF-000007652 | LBSF→LDZA | cant=2 | creado=2026-06-21T00:35 | deadline=2026-06-22T00:35

      LBSF-000007653 | LBSF→SEQM | cant=2 | creado=2026-06-21T00:45 | deadline=2026-06-23T00:45

      LBSF-000007654 | LBSF→SPIM | cant=2 | creado=2026-06-21T01:01 | deadline=2026-06-23T01:01

      LBSF-000007655 | LBSF→EKCH | cant=2 | creado=2026-06-21T01:20 | deadline=2026-06-22T01:20

      LBSF-000007656 | LBSF→LOWW | cant=2 | creado=2026-06-21T01:32 | deadline=2026-06-22T01:32

      LBSF-000007657 | LBSF→SPIM | cant=2 | creado=2026-06-21T01:50 | deadline=2026-06-23T01:50

      LBSF-000007658 | LBSF→SLLP | cant=2 | creado=2026-06-21T02:11 | deadline=2026-06-23T02:11

      LBSF-000007659 | LBSF→SLLP | cant=2 | creado=2026-06-21T02:22 | deadline=2026-06-23T02:22

      LBSF-000007660 | LBSF→EKCH | cant=2 | creado=2026-06-21T02:38 | deadline=2026-06-22T02:38

      LBSF-000007661 | LBSF→LOWW | cant=2 | creado=2026-06-21T02:01 | deadline=2026-06-22T02:01

      LBSF-000007662 | LBSF→SBBR | cant=2 | creado=2026-06-21T03:15 | deadline=2026-06-23T03:15

      LBSF-000007663 | LBSF→OPKC | cant=2 | creado=2026-06-21T03:30 | deadline=2026-06-23T03:30

      LBSF-000007664 | LBSF→LOWW | cant=2 | creado=2026-06-21T03:49 | deadline=2026-06-22T03:49

      LBSF-000007665 | LBSF→SVMI | cant=2 | creado=2026-06-21T03:57 | deadline=2026-06-23T03:57

      LBSF-000007666 | LBSF→SKBO | cant=2 | creado=2026-06-21T04:18 | deadline=2026-06-23T04:18

      LBSF-000007667 | LBSF→OJAI | cant=2 | creado=2026-06-21T04:36 | deadline=2026-06-23T04:36

      LBSF-000007668 | LBSF→EBCI | cant=2 | creado=2026-06-21T04:52 | deadline=2026-06-22T04:52

      LBSF-000007669 | LBSF→SKBO | cant=2 | creado=2026-06-21T05:01 | deadline=2026-06-23T05:01

      LBSF-000007670 | LBSF→SPIM | cant=2 | creado=2026-06-21T05:18 | deadline=2026-06-23T05:18

      LBSF-000007671 | LBSF→OJAI | cant=2 | creado=2026-06-21T05:32 | deadline=2026-06-23T05:32

      LBSF-000007672 | LBSF→LDZA | cant=2 | creado=2026-06-21T05:49 | deadline=2026-06-22T05:49

      LBSF-000007673 | LBSF→UBBB | cant=2 | creado=2026-06-21T06:06 | deadline=2026-06-23T06:06

      LBSF-000007674 | LBSF→UBBB | cant=2 | creado=2026-06-21T06:23 | deadline=2026-06-23T06:23

      LBSF-000007675 | LBSF→EDDI | cant=2 | creado=2026-06-21T06:38 | deadline=2026-06-22T06:38

      LBSF-000007676 | LBSF→SABE | cant=2 | creado=2026-06-21T06:55 | deadline=2026-06-23T06:55

      LBSF-000007677 | LBSF→SLLP | cant=2 | creado=2026-06-21T07:14 | deadline=2026-06-23T07:14

      LBSF-000007678 | LBSF→OPKC | cant=2 | creado=2026-06-21T07:24 | deadline=2026-06-23T07:24

      LBSF-000007679 | LBSF→EBCI | cant=2 | creado=2026-06-21T07:40 | deadline=2026-06-22T07:40

      LBSF-000007680 | LBSF→EHAM | cant=2 | creado=2026-06-21T07:57 | deadline=2026-06-22T07:57

      LBSF-000007681 | LBSF→OSDI | cant=2 | creado=2026-06-21T08:12 | deadline=2026-06-23T08:12

      LBSF-000007682 | LBSF→SBBR | cant=2 | creado=2026-06-21T08:34 | deadline=2026-06-23T08:34

      LBSF-000007683 | LBSF→LOWW | cant=2 | creado=2026-06-21T08:44 | deadline=2026-06-22T08:44

      LBSF-000007684 | LBSF→OJAI | cant=2 | creado=2026-06-21T09:02 | deadline=2026-06-23T09:02

      LBSF-000007685 | LBSF→OMDB | cant=2 | creado=2026-06-21T09:25 | deadline=2026-06-23T09:25

      LBSF-000007686 | LBSF→SKBO | cant=2 | creado=2026-06-21T09:36 | deadline=2026-06-23T09:36

      LBSF-000007687 | LBSF→EDDI | cant=2 | creado=2026-06-21T09:50 | deadline=2026-06-22T09:50

      LBSF-000007688 | LBSF→SUAA | cant=2 | creado=2026-06-21T10:06 | deadline=2026-06-23T10:06

      LBSF-000007689 | LBSF→SPIM | cant=2 | creado=2026-06-21T10:24 | deadline=2026-06-23T10:24

      LBSF-000007690 | LBSF→SUAA | cant=2 | creado=2026-06-21T10:36 | deadline=2026-06-23T10:36

      LBSF-000007691 | LBSF→OJAI | cant=2 | creado=2026-06-21T10:52 | deadline=2026-06-23T10:52

      LBSF-000007692 | LBSF→SGAS | cant=2 | creado=2026-06-21T11:16 | deadline=2026-06-23T11:16

      LBSF-000007693 | LBSF→SPIM | cant=2 | creado=2026-06-21T11:33 | deadline=2026-06-23T11:33

      LBSF-000007694 | LBSF→SEQM | cant=2 | creado=2026-06-21T11:43 | deadline=2026-06-23T11:43

      LBSF-000007695 | LBSF→SPIM | cant=2 | creado=2026-06-21T11:01 | deadline=2026-06-23T11:01

      LBSF-000007696 | LBSF→LATI | cant=2 | creado=2026-06-21T12:15 | deadline=2026-06-22T12:15

      LBSF-000007697 | LBSF→SCEL | cant=2 | creado=2026-06-21T12:37 | deadline=2026-06-23T12:37

      LBSF-000007698 | LBSF→LKPR | cant=2 | creado=2026-06-21T12:44 | deadline=2026-06-22T12:44

      LBSF-000007699 | LBSF→LOWW | cant=2 | creado=2026-06-21T13:01 | deadline=2026-06-22T13:01

      LBSF-000007700 | LBSF→SGAS | cant=2 | creado=2026-06-21T13:18 | deadline=2026-06-23T13:18

      LBSF-000007701 | LBSF→OJAI | cant=2 | creado=2026-06-21T13:40 | deadline=2026-06-23T13:40

      LBSF-000007702 | LBSF→OERK | cant=2 | creado=2026-06-21T13:49 | deadline=2026-06-23T13:49

      LBSF-000007703 | LBSF→OAKB | cant=1 | creado=2026-06-21T14:06 | deadline=2026-06-23T14:06

      LBSF-000007704 | LBSF→OAKB | cant=1 | creado=2026-06-21T14:21 | deadline=2026-06-23T14:21

      LBSF-000007705 | LBSF→OERK | cant=1 | creado=2026-06-21T14:38 | deadline=2026-06-23T14:38

      LBSF-000007706 | LBSF→SEQM | cant=1 | creado=2026-06-21T14:59 | deadline=2026-06-23T14:59

      LBSF-000007707 | LBSF→UBBB | cant=1 | creado=2026-06-21T15:09 | deadline=2026-06-23T15:09

      LBSF-000007708 | LBSF→LATI | cant=1 | creado=2026-06-21T15:31 | deadline=2026-06-22T15:31

      LBSF-000007709 | LBSF→SKBO | cant=1 | creado=2026-06-21T15:47 | deadline=2026-06-23T15:47

      LBSF-000007710 | LBSF→SABE | cant=1 | creado=2026-06-21T15:56 | deadline=2026-06-23T15:56

      LBSF-000007711 | LBSF→EKCH | cant=1 | creado=2026-06-21T16:12 | deadline=2026-06-22T16:12

      LBSF-000007712 | LBSF→SKBO | cant=1 | creado=2026-06-21T16:37 | deadline=2026-06-23T16:37

      LBSF-000007713 | LBSF→OAKB | cant=1 | creado=2026-06-21T16:47 | deadline=2026-06-23T16:47

      LBSF-000007714 | LBSF→OMDB | cant=1 | creado=2026-06-21T17:09 | deadline=2026-06-23T17:09

      LBSF-000007715 | LBSF→EKCH | cant=1 | creado=2026-06-21T17:19 | deadline=2026-06-22T17:19

      LBSF-000007716 | LBSF→SLLP | cant=1 | creado=2026-06-21T17:41 | deadline=2026-06-23T17:41

      LBSF-000007717 | LBSF→EKCH | cant=1 | creado=2026-06-21T17:55 | deadline=2026-06-22T17:55

      LBSF-000007718 | LBSF→OYSN | cant=2 | creado=2026-06-21T21:15 | deadline=2026-06-23T21:15

      LBSF-000007719 | LBSF→SPIM | cant=2 | creado=2026-06-21T21:35 | deadline=2026-06-23T21:35

      LBSF-000007720 | LBSF→OOMS | cant=2 | creado=2026-06-21T21:50 | deadline=2026-06-23T21:50

      LBSF-000007721 | LBSF→SVMI | cant=2 | creado=2026-06-21T22:03 | deadline=2026-06-23T22:03

      LBSF-000007722 | LBSF→OYSN | cant=2 | creado=2026-06-21T22:19 | deadline=2026-06-23T22:19

      LBSF-000007723 | LBSF→OJAI | cant=2 | creado=2026-06-21T22:38 | deadline=2026-06-23T22:38

      LBSF-000007724 | LBSF→LATI | cant=2 | creado=2026-06-21T22:45 | deadline=2026-06-22T22:45

      LBSF-000007725 | LBSF→LKPR | cant=2 | creado=2026-06-21T23:01 | deadline=2026-06-22T23:01

      LBSF-000007726 | LBSF→UBBB | cant=2 | creado=2026-06-21T23:24 | deadline=2026-06-23T23:24

      LBSF-000007727 | LBSF→SLLP | cant=2 | creado=2026-06-21T23:38 | deadline=2026-06-23T23:38

      LBSF-000007728 | LBSF→SLLP | cant=2 | creado=2026-06-21T23:54 | deadline=2026-06-23T23:54

      LDZA-000006921 | LDZA→SBBR | cant=7 | creado=2026-06-19T00:37 | deadline=2026-06-21T00:37

      LDZA-000006922 | LDZA→EDDI | cant=7 | creado=2026-06-19T01:24 | deadline=2026-06-20T01:24

      LDZA-000006923 | LDZA→EKCH | cant=7 | creado=2026-06-19T02:23 | deadline=2026-06-20T02:23

      LDZA-000006924 | LDZA→OJAI | cant=7 | creado=2026-06-19T03:11 | deadline=2026-06-21T03:11

      LDZA-000006925 | LDZA→OSDI | cant=7 | creado=2026-06-19T03:06 | deadline=2026-06-21T03:06

      LDZA-000006926 | LDZA→UBBB | cant=7 | creado=2026-06-19T04:52 | deadline=2026-06-21T04:52

      LDZA-000006927 | LDZA→SPIM | cant=7 | creado=2026-06-19T05:48 | deadline=2026-06-21T05:48

      LDZA-000006928 | LDZA→SGAS | cant=7 | creado=2026-06-19T06:33 | deadline=2026-06-21T06:33

      LDZA-000006929 | LDZA→EDDI | cant=7 | creado=2026-06-19T07:26 | deadline=2026-06-20T07:26

      LDZA-000006930 | LDZA→OJAI | cant=7 | creado=2026-06-19T08:13 | deadline=2026-06-21T08:13

      LDZA-000006931 | LDZA→SUAA | cant=7 | creado=2026-06-19T09:07 | deadline=2026-06-21T09:07

      LDZA-000006932 | LDZA→SPIM | cant=7 | creado=2026-06-19T09:59 | deadline=2026-06-21T09:59

      LDZA-000006933 | LDZA→SCEL | cant=7 | creado=2026-06-19T10:50 | deadline=2026-06-21T10:50

      LDZA-000006934 | LDZA→UMMS | cant=7 | creado=2026-06-19T11:40 | deadline=2026-06-20T11:40

      LDZA-000006935 | LDZA→LKPR | cant=7 | creado=2026-06-19T12:35 | deadline=2026-06-20T12:35

      LDZA-000006936 | LDZA→SPIM | cant=1 | creado=2026-06-19T13:26 | deadline=2026-06-21T13:26

      LDZA-000006937 | LDZA→UMMS | cant=3 | creado=2026-06-19T22:28 | deadline=2026-06-20T22:28

      LDZA-000006938 | LDZA→OMDB | cant=3 | creado=2026-06-19T22:52 | deadline=2026-06-21T22:52

      LDZA-000006939 | LDZA→OOMS | cant=3 | creado=2026-06-19T23:10 | deadline=2026-06-21T23:10

      LDZA-000006940 | LDZA→SABE | cant=3 | creado=2026-06-19T23:34 | deadline=2026-06-21T23:34

      LDZA-000006941 | LDZA→EBCI | cant=3 | creado=2026-06-19T23:51 | deadline=2026-06-20T23:51

      LDZA-000006942 | LDZA→OERK | cant=3 | creado=2026-06-20T00:18 | deadline=2026-06-22T00:18

      LDZA-000006943 | LDZA→UMMS | cant=3 | creado=2026-06-20T00:41 | deadline=2026-06-21T00:41

      LDZA-000006944 | LDZA→EHAM | cant=3 | creado=2026-06-20T00:58 | deadline=2026-06-21T00:58

      LDZA-000006945 | LDZA→SEQM | cant=3 | creado=2026-06-20T01:20 | deadline=2026-06-22T01:20

      LDZA-000006946 | LDZA→OJAI | cant=3 | creado=2026-06-20T01:45 | deadline=2026-06-22T01:45

      LDZA-000006947 | LDZA→SBBR | cant=3 | creado=2026-06-20T02:04 | deadline=2026-06-22T02:04

      LDZA-000006948 | LDZA→SGAS | cant=3 | creado=2026-06-20T02:24 | deadline=2026-06-22T02:24

      LDZA-000006949 | LDZA→EDDI | cant=2 | creado=2026-06-20T02:49 | deadline=2026-06-21T02:49

      LDZA-000006950 | LDZA→LATI | cant=2 | creado=2026-06-20T03:08 | deadline=2026-06-21T03:08

      LDZA-000006951 | LDZA→EKCH | cant=2 | creado=2026-06-20T03:30 | deadline=2026-06-21T03:30

      LDZA-000006952 | LDZA→SLLP | cant=2 | creado=2026-06-20T03:53 | deadline=2026-06-22T03:53

      LDZA-000006953 | LDZA→UMMS | cant=2 | creado=2026-06-20T04:21 | deadline=2026-06-21T04:21

      LDZA-000006954 | LDZA→SUAA | cant=2 | creado=2026-06-20T04:42 | deadline=2026-06-22T04:42

      LDZA-000006955 | LDZA→OSDI | cant=2 | creado=2026-06-20T04:06 | deadline=2026-06-22T04:06

