[BUSQUEDA RUTAS] 702 tareas de busqueda paralela completadas [151ms]
[BUSQUEDA RUTAS] 2246 tareas de busqueda paralela completadas [2142ms]
  [DIAG-ALNS] PAQUETES INCOMPLETOS: 4420
    [SIN RUTAS CANDIDATAS] 4420 paquetes (rutas fuera de deadline o ventana):
      EBCI-000008233 | EBCI→SBBR | cant=1 | creado=2026-06-19T13:26 | deadline=2026-06-21T13:26

      LKPR-000007530 | LKPR→SUAA | cant=4 | creado=2026-06-20T03:08 | deadline=2026-06-22T03:08

      LKPR-000007531 | LKPR→UBBB | cant=4 | creado=2026-06-20T03:40 | deadline=2026-06-22T03:40

      LKPR-000007532 | LKPR→SBBR | cant=4 | creado=2026-06-20T04:04 | deadline=2026-06-22T04:04

      LKPR-000007533 | LKPR→SUAA | cant=4 | creado=2026-06-20T04:33 | deadline=2026-06-22T04:33

      LKPR-000007535 | LKPR→VIDP | cant=4 | creado=2026-06-20T05:28 | deadline=2026-06-22T05:28

      LKPR-000007537 | LKPR→EDDI | cant=4 | creado=2026-06-20T06:32 | deadline=2026-06-21T06:32

      LKPR-000007538 | LKPR→VIDP | cant=4 | creado=2026-06-20T06:00 | deadline=2026-06-22T06:00

      LKPR-000007539 | LKPR→OOMS | cant=4 | creado=2026-06-20T07:25 | deadline=2026-06-22T07:25

      LKPR-000007540 | LKPR→SCEL | cant=4 | creado=2026-06-20T07:56 | deadline=2026-06-22T07:56

      LKPR-000007541 | LKPR→SCEL | cant=4 | creado=2026-06-20T08:17 | deadline=2026-06-22T08:17

      LKPR-000007542 | LKPR→UBBB | cant=4 | creado=2026-06-20T08:48 | deadline=2026-06-22T08:48

      LKPR-000007543 | LKPR→OMDB | cant=4 | creado=2026-06-20T09:16 | deadline=2026-06-22T09:16

      LKPR-000007544 | LKPR→SBBR | cant=4 | creado=2026-06-20T09:49 | deadline=2026-06-22T09:49

      LKPR-000007547 | LKPR→EBCI | cant=3 | creado=2026-06-20T11:08 | deadline=2026-06-21T11:08

      LKPR-000007548 | LKPR→SUAA | cant=3 | creado=2026-06-20T11:40 | deadline=2026-06-22T11:40

      LKPR-000007549 | LKPR→SEQM | cant=3 | creado=2026-06-20T12:03 | deadline=2026-06-22T12:03

      LKPR-000007551 | LKPR→SLLP | cant=3 | creado=2026-06-20T12:01 | deadline=2026-06-22T12:01

      LKPR-000007552 | LKPR→OJAI | cant=3 | creado=2026-06-20T13:26 | deadline=2026-06-22T13:26

      LKPR-000007553 | LKPR→SKBO | cant=3 | creado=2026-06-20T13:56 | deadline=2026-06-22T13:56

      LKPR-000007555 | LKPR→OOMS | cant=3 | creado=2026-06-20T14:48 | deadline=2026-06-22T14:48

      LKPR-000007556 | LKPR→UMMS | cant=3 | creado=2026-06-20T15:24 | deadline=2026-06-21T15:24

      LKPR-000007557 | LKPR→EHAM | cant=3 | creado=2026-06-20T15:47 | deadline=2026-06-21T15:47

      LKPR-000007558 | LKPR→EDDI | cant=3 | creado=2026-06-20T16:14 | deadline=2026-06-21T16:14

      LKPR-000007559 | LKPR→LBSF | cant=1 | creado=2026-06-20T16:46 | deadline=2026-06-21T16:46

      LKPR-000007560 | LKPR→SCEL | cant=4 | creado=2026-06-20T22:33 | deadline=2026-06-22T22:33

      LKPR-000007561 | LKPR→UBBB | cant=4 | creado=2026-06-20T22:57 | deadline=2026-06-22T22:57

      LKPR-000007562 | LKPR→SKBO | cant=4 | creado=2026-06-20T23:29 | deadline=2026-06-22T23:29

      LKPR-000007563 | LKPR→SEQM | cant=4 | creado=2026-06-20T23:54 | deadline=2026-06-22T23:54

      LKPR-000007564 | LKPR→SUAA | cant=4 | creado=2026-06-21T00:17 | deadline=2026-06-23T00:17

      LKPR-000007565 | LKPR→SKBO | cant=4 | creado=2026-06-21T00:42 | deadline=2026-06-23T00:42

      LKPR-000007566 | LKPR→SLLP | cant=4 | creado=2026-06-21T01:16 | deadline=2026-06-23T01:16

      LKPR-000007567 | LKPR→EBCI | cant=4 | creado=2026-06-21T01:36 | deadline=2026-06-22T01:36

      LKPR-000007568 | LKPR→OAKB | cant=4 | creado=2026-06-21T02:10 | deadline=2026-06-23T02:10

      LKPR-000007569 | LKPR→SUAA | cant=4 | creado=2026-06-21T02:30 | deadline=2026-06-23T02:30

      LKPR-000007570 | LKPR→SCEL | cant=4 | creado=2026-06-21T02:02 | deadline=2026-06-23T02:02

      LKPR-000007572 | LKPR→EBCI | cant=4 | creado=2026-06-21T03:54 | deadline=2026-06-22T03:54

      LKPR-000007574 | LKPR→SCEL | cant=4 | creado=2026-06-21T04:48 | deadline=2026-06-23T04:48

      LKPR-000007575 | LKPR→SUAA | cant=4 | creado=2026-06-21T05:20 | deadline=2026-06-23T05:20

      LKPR-000007576 | LKPR→EBCI | cant=4 | creado=2026-06-21T05:42 | deadline=2026-06-22T05:42

      LKPR-000007579 | LKPR→SBBR | cant=3 | creado=2026-06-21T07:01 | deadline=2026-06-23T07:01

      LKPR-000007580 | LKPR→VIDP | cant=3 | creado=2026-06-21T07:32 | deadline=2026-06-23T07:32

      LKPR-000007581 | LKPR→LBSF | cant=3 | creado=2026-06-21T07:56 | deadline=2026-06-22T07:56

      LKPR-000007582 | LKPR→VIDP | cant=3 | creado=2026-06-21T08:26 | deadline=2026-06-23T08:26

      LKPR-000007583 | LKPR→SUAA | cant=3 | creado=2026-06-21T08:53 | deadline=2026-06-23T08:53

      LKPR-000007584 | LKPR→SVMI | cant=3 | creado=2026-06-21T09:22 | deadline=2026-06-23T09:22

      LKPR-000007585 | LKPR→EDDI | cant=3 | creado=2026-06-21T09:48 | deadline=2026-06-22T09:48

      LKPR-000007588 | LKPR→LBSF | cant=3 | creado=2026-06-21T11:10 | deadline=2026-06-22T11:10

      LKPR-000007589 | LKPR→EBCI | cant=3 | creado=2026-06-21T11:37 | deadline=2026-06-22T11:37

      LKPR-000007590 | LKPR→SVMI | cant=3 | creado=2026-06-21T11:03 | deadline=2026-06-23T11:03

      LKPR-000007591 | LKPR→SUAA | cant=3 | creado=2026-06-21T12:24 | deadline=2026-06-23T12:24

      LKPR-000007592 | LKPR→VIDP | cant=3 | creado=2026-06-21T12:57 | deadline=2026-06-23T12:57

      LKPR-000007593 | LKPR→EBCI | cant=3 | creado=2026-06-21T13:24 | deadline=2026-06-22T13:24

      LKPR-000007594 | LKPR→SVMI | cant=3 | creado=2026-06-21T13:47 | deadline=2026-06-23T13:47

      LKPR-000007595 | LKPR→LDZA | cant=3 | creado=2026-06-21T14:19 | deadline=2026-06-22T14:19

      LKPR-000007597 | LKPR→OAKB | cant=3 | creado=2026-06-21T15:06 | deadline=2026-06-23T15:06

      LKPR-000007599 | LKPR→SABE | cant=3 | creado=2026-06-21T16:08 | deadline=2026-06-23T16:08

      LKPR-000007600 | LKPR→SVMI | cant=3 | creado=2026-06-21T16:27 | deadline=2026-06-23T16:27

      LKPR-000007601 | LKPR→EBCI | cant=3 | creado=2026-06-21T16:02 | deadline=2026-06-22T16:02

      LKPR-000007602 | LKPR→OMDB | cant=1 | creado=2026-06-21T17:23 | deadline=2026-06-23T17:23

      LKPR-000007604 | LKPR→EKCH | cant=3 | creado=2026-06-21T22:41 | deadline=2026-06-22T22:41

      LKPR-000007605 | LKPR→EBCI | cant=3 | creado=2026-06-21T22:59 | deadline=2026-06-22T22:59

      LKPR-000007606 | LKPR→SCEL | cant=3 | creado=2026-06-21T23:21 | deadline=2026-06-23T23:21

      LKPR-000007607 | LKPR→EDDI | cant=3 | creado=2026-06-21T23:33 | deadline=2026-06-22T23:33

      LKPR-000007608 | LKPR→SPIM | cant=3 | creado=2026-06-21T23:50 | deadline=2026-06-23T23:50

      LOWW-000007818 | LOWW→SABE | cant=1 | creado=2026-06-19T16:02 | deadline=2026-06-21T16:02

      LOWW-000007819 | LOWW→SUAA | cant=2 | creado=2026-06-19T22:19 | deadline=2026-06-21T22:19

      LOWW-000007820 | LOWW→LKPR | cant=2 | creado=2026-06-19T22:24 | deadline=2026-06-20T22:24

      LOWW-000007821 | LOWW→OYSN | cant=2 | creado=2026-06-19T22:40 | deadline=2026-06-21T22:40

      LOWW-000007822 | LOWW→SBBR | cant=2 | creado=2026-06-19T22:49 | deadline=2026-06-21T22:49

      LOWW-000007823 | LOWW→SBBR | cant=2 | creado=2026-06-19T23:09 | deadline=2026-06-21T23:09

      LOWW-000007824 | LOWW→OPKC | cant=2 | creado=2026-06-19T23:13 | deadline=2026-06-21T23:13

      LOWW-000007825 | LOWW→SKBO | cant=2 | creado=2026-06-19T23:30 | deadline=2026-06-21T23:30

      LOWW-000007826 | LOWW→OJAI | cant=2 | creado=2026-06-19T23:37 | deadline=2026-06-21T23:37

      LOWW-000007827 | LOWW→OJAI | cant=2 | creado=2026-06-19T23:56 | deadline=2026-06-21T23:56

      LOWW-000007828 | LOWW→SPIM | cant=2 | creado=2026-06-20T00:02 | deadline=2026-06-22T00:02

      LOWW-000007829 | LOWW→SEQM | cant=2 | creado=2026-06-20T00:14 | deadline=2026-06-22T00:14

      LOWW-000007830 | LOWW→LBSF | cant=2 | creado=2026-06-20T00:25 | deadline=2026-06-21T00:25

      LOWW-000007831 | LOWW→SKBO | cant=2 | creado=2026-06-20T00:45 | deadline=2026-06-22T00:45

      LOWW-000007832 | LOWW→SEQM | cant=2 | creado=2026-06-20T00:48 | deadline=2026-06-22T00:48

      LOWW-000007833 | LOWW→OERK | cant=2 | creado=2026-06-20T01:02 | deadline=2026-06-22T01:02

      LOWW-000007834 | LOWW→EHAM | cant=2 | creado=2026-06-20T01:14 | deadline=2026-06-21T01:14

      LOWW-000007835 | LOWW→LDZA | cant=2 | creado=2026-06-20T01:27 | deadline=2026-06-21T01:27

      LOWW-000007836 | LOWW→EHAM | cant=2 | creado=2026-06-20T01:38 | deadline=2026-06-21T01:38

      LOWW-000007837 | LOWW→SLLP | cant=2 | creado=2026-06-20T01:48 | deadline=2026-06-22T01:48

      LOWW-000007838 | LOWW→OAKB | cant=2 | creado=2026-06-20T02:09 | deadline=2026-06-22T02:09

      LOWW-000007839 | LOWW→EHAM | cant=2 | creado=2026-06-20T02:15 | deadline=2026-06-21T02:15

      LOWW-000007840 | LOWW→SLLP | cant=2 | creado=2026-06-20T02:27 | deadline=2026-06-22T02:27

      LOWW-000007841 | LOWW→OPKC | cant=2 | creado=2026-06-20T02:39 | deadline=2026-06-22T02:39

      LOWW-000007843 | LOWW→LBSF | cant=2 | creado=2026-06-20T03:04 | deadline=2026-06-21T03:04

      LOWW-000007844 | LOWW→EDDI | cant=2 | creado=2026-06-20T03:19 | deadline=2026-06-21T03:19

      LOWW-000007845 | LOWW→OPKC | cant=2 | creado=2026-06-20T03:27 | deadline=2026-06-22T03:27

      LOWW-000007847 | LOWW→LDZA | cant=2 | creado=2026-06-20T03:54 | deadline=2026-06-21T03:54

      LOWW-000007848 | LOWW→OSDI | cant=2 | creado=2026-06-20T04:09 | deadline=2026-06-22T04:09

      LOWW-000007849 | LOWW→OSDI | cant=2 | creado=2026-06-20T04:12 | deadline=2026-06-22T04:12

      LOWW-000007850 | LOWW→LATI | cant=2 | creado=2026-06-20T04:28 | deadline=2026-06-21T04:28

      LOWW-000007851 | LOWW→OJAI | cant=2 | creado=2026-06-20T04:40 | deadline=2026-06-22T04:40

      LOWW-000007852 | LOWW→VIDP | cant=2 | creado=2026-06-20T04:57 | deadline=2026-06-22T04:57

      LOWW-000007854 | LOWW→SKBO | cant=2 | creado=2026-06-20T05:18 | deadline=2026-06-22T05:18

      LOWW-000007856 | LOWW→OPKC | cant=2 | creado=2026-06-20T05:40 | deadline=2026-06-22T05:40

      LOWW-000007857 | LOWW→OERK | cant=2 | creado=2026-06-20T05:56 | deadline=2026-06-22T05:56

      LOWW-000007858 | LOWW→EDDI | cant=2 | creado=2026-06-20T06:09 | deadline=2026-06-21T06:09

      LOWW-000007859 | LOWW→SEQM | cant=2 | creado=2026-06-20T06:14 | deadline=2026-06-22T06:14

      LOWW-000007860 | LOWW→OYSN | cant=2 | creado=2026-06-20T06:30 | deadline=2026-06-22T06:30

      LOWW-000007861 | LOWW→OERK | cant=2 | creado=2026-06-20T06:38 | deadline=2026-06-22T06:38

      LOWW-000007862 | LOWW→SABE | cant=2 | creado=2026-06-20T06:53 | deadline=2026-06-22T06:53

      LOWW-000007863 | LOWW→EHAM | cant=2 | creado=2026-06-20T07:07 | deadline=2026-06-21T07:07

      LOWW-000007864 | LOWW→UBBB | cant=1 | creado=2026-06-20T07:17 | deadline=2026-06-22T07:17

      LOWW-000007865 | LOWW→SCEL | cant=1 | creado=2026-06-20T07:30 | deadline=2026-06-22T07:30

      LOWW-000007866 | LOWW→OERK | cant=1 | creado=2026-06-20T07:41 | deadline=2026-06-22T07:41

      LOWW-000007867 | LOWW→OAKB | cant=1 | creado=2026-06-20T07:57 | deadline=2026-06-22T07:57

      LOWW-000007868 | LOWW→OAKB | cant=1 | creado=2026-06-20T08:01 | deadline=2026-06-22T08:01

      LOWW-000007869 | LOWW→LDZA | cant=1 | creado=2026-06-20T08:16 | deadline=2026-06-21T08:16

      LOWW-000007870 | LOWW→OOMS | cant=1 | creado=2026-06-20T08:33 | deadline=2026-06-22T08:33

      LOWW-000007871 | LOWW→OSDI | cant=1 | creado=2026-06-20T08:38 | deadline=2026-06-22T08:38

      LOWW-000007872 | LOWW→VIDP | cant=1 | creado=2026-06-20T08:57 | deadline=2026-06-22T08:57

      LOWW-000007874 | LOWW→SEQM | cant=1 | creado=2026-06-20T09:17 | deadline=2026-06-22T09:17

      LOWW-000007875 | LOWW→UBBB | cant=1 | creado=2026-06-20T09:32 | deadline=2026-06-22T09:32

      LOWW-000007878 | LOWW→OAKB | cant=1 | creado=2026-06-20T10:05 | deadline=2026-06-22T10:05

      LOWW-000007879 | LOWW→OOMS | cant=1 | creado=2026-06-20T10:18 | deadline=2026-06-22T10:18

      LOWW-000007881 | LOWW→SEQM | cant=1 | creado=2026-06-20T10:41 | deadline=2026-06-22T10:41

      LOWW-000007883 | LOWW→EDDI | cant=1 | creado=2026-06-20T11:04 | deadline=2026-06-21T11:04

      LOWW-000007884 | LOWW→SABE | cant=1 | creado=2026-06-20T11:14 | deadline=2026-06-22T11:14

      LOWW-000007886 | LOWW→LDZA | cant=1 | creado=2026-06-20T11:37 | deadline=2026-06-21T11:37

      LOWW-000007887 | LOWW→EBCI | cant=1 | creado=2026-06-20T11:48 | deadline=2026-06-21T11:48

      LOWW-000007889 | LOWW→UBBB | cant=1 | creado=2026-06-20T12:13 | deadline=2026-06-22T12:13

      LOWW-000007890 | LOWW→SKBO | cant=1 | creado=2026-06-20T12:33 | deadline=2026-06-22T12:33

      LOWW-000007891 | LOWW→OOMS | cant=1 | creado=2026-06-20T12:41 | deadline=2026-06-22T12:41

      LOWW-000007892 | LOWW→SLLP | cant=1 | creado=2026-06-20T12:57 | deadline=2026-06-22T12:57

      LOWW-000007893 | LOWW→SEQM | cant=1 | creado=2026-06-20T13:03 | deadline=2026-06-22T13:03

      LOWW-000007894 | LOWW→SPIM | cant=1 | creado=2026-06-20T13:15 | deadline=2026-06-22T13:15

      LOWW-000007895 | LOWW→EDDI | cant=1 | creado=2026-06-20T13:32 | deadline=2026-06-21T13:32

      LOWW-000007898 | LOWW→OJAI | cant=1 | creado=2026-06-20T14:02 | deadline=2026-06-22T14:02

      LOWW-000007899 | LOWW→OJAI | cant=1 | creado=2026-06-20T14:19 | deadline=2026-06-22T14:19

      LOWW-000007900 | LOWW→EBCI | cant=1 | creado=2026-06-20T14:28 | deadline=2026-06-21T14:28

      LOWW-000007901 | LOWW→SBBR | cant=1 | creado=2026-06-20T14:41 | deadline=2026-06-22T14:41

      LOWW-000007902 | LOWW→OOMS | cant=1 | creado=2026-06-20T14:57 | deadline=2026-06-22T14:57

      LOWW-000007903 | LOWW→EDDI | cant=1 | creado=2026-06-20T15:04 | deadline=2026-06-21T15:04

      LOWW-000007904 | LOWW→LATI | cant=1 | creado=2026-06-20T15:17 | deadline=2026-06-21T15:17

      LOWW-000007905 | LOWW→EHAM | cant=1 | creado=2026-06-20T15:29 | deadline=2026-06-21T15:29

      LOWW-000007906 | LOWW→SEQM | cant=1 | creado=2026-06-20T15:43 | deadline=2026-06-22T15:43

      LOWW-000007907 | LOWW→EBCI | cant=1 | creado=2026-06-20T15:52 | deadline=2026-06-21T15:52

      LOWW-000007908 | LOWW→SPIM | cant=1 | creado=2026-06-20T16:05 | deadline=2026-06-22T16:05

      LOWW-000007909 | LOWW→SKBO | cant=1 | creado=2026-06-20T16:16 | deadline=2026-06-22T16:16

      LOWW-000007910 | LOWW→EHAM | cant=1 | creado=2026-06-20T16:32 | deadline=2026-06-21T16:32

      LOWW-000007912 | LOWW→SEQM | cant=1 | creado=2026-06-20T16:56 | deadline=2026-06-22T16:56

      LOWW-000007917 | LOWW→OERK | cant=1 | creado=2026-06-20T17:54 | deadline=2026-06-22T17:54

      LOWW-000007918 | LOWW→VIDP | cant=1 | creado=2026-06-20T18:02 | deadline=2026-06-22T18:02

      LOWW-000007919 | LOWW→EKCH | cant=1 | creado=2026-06-20T18:13 | deadline=2026-06-21T18:13

      LOWW-000007922 | LOWW→SABE | cant=4 | creado=2026-06-20T22:35 | deadline=2026-06-22T22:35

      LOWW-000007923 | LOWW→SEQM | cant=4 | creado=2026-06-20T22:02 | deadline=2026-06-22T22:02

      LOWW-000007924 | LOWW→OERK | cant=4 | creado=2026-06-20T23:24 | deadline=2026-06-22T23:24

      LOWW-000007925 | LOWW→LDZA | cant=4 | creado=2026-06-20T23:54 | deadline=2026-06-21T23:54

      LOWW-000007926 | LOWW→EBCI | cant=4 | creado=2026-06-21T00:28 | deadline=2026-06-22T00:28

      LOWW-000007927 | LOWW→LDZA | cant=4 | creado=2026-06-21T00:53 | deadline=2026-06-22T00:53

      LOWW-000007929 | LOWW→LBSF | cant=4 | creado=2026-06-21T01:46 | deadline=2026-06-22T01:46

      LOWW-000007931 | LOWW→SPIM | cant=4 | creado=2026-06-21T02:45 | deadline=2026-06-23T02:45

      LOWW-000007932 | LOWW→SKBO | cant=4 | creado=2026-06-21T03:17 | deadline=2026-06-23T03:17

      LOWW-000007933 | LOWW→OERK | cant=4 | creado=2026-06-21T03:40 | deadline=2026-06-23T03:40

      LOWW-000007934 | LOWW→EDDI | cant=4 | creado=2026-06-21T04:04 | deadline=2026-06-22T04:04

      LOWW-000007935 | LOWW→EHAM | cant=4 | creado=2026-06-21T04:35 | deadline=2026-06-22T04:35

      LOWW-000007936 | LOWW→EBCI | cant=4 | creado=2026-06-21T05:04 | deadline=2026-06-22T05:04

      LOWW-000007937 | LOWW→SCEL | cant=4 | creado=2026-06-21T05:36 | deadline=2026-06-23T05:36

      LOWW-000007938 | LOWW→OERK | cant=4 | creado=2026-06-21T05:58 | deadline=2026-06-23T05:58

      LOWW-000007939 | LOWW→SPIM | cant=4 | creado=2026-06-21T06:24 | deadline=2026-06-23T06:24

      LOWW-000007940 | LOWW→SPIM | cant=4 | creado=2026-06-21T06:59 | deadline=2026-06-23T06:59

      LOWW-000007941 | LOWW→SPIM | cant=4 | creado=2026-06-21T07:22 | deadline=2026-06-23T07:22

      LOWW-000007945 | LOWW→LDZA | cant=4 | creado=2026-06-21T09:14 | deadline=2026-06-22T09:14

      LOWW-000007946 | LOWW→VIDP | cant=4 | creado=2026-06-21T09:47 | deadline=2026-06-23T09:47

      LOWW-000007947 | LOWW→SPIM | cant=4 | creado=2026-06-21T10:08 | deadline=2026-06-23T10:08

      LOWW-000007948 | LOWW→SABE | cant=4 | creado=2026-06-21T10:40 | deadline=2026-06-23T10:40

      LOWW-000007949 | LOWW→SBBR | cant=4 | creado=2026-06-21T11:04 | deadline=2026-06-23T11:04

      LOWW-000007952 | LOWW→OPKC | cant=4 | creado=2026-06-21T12:29 | deadline=2026-06-23T12:29

      LOWW-000007953 | LOWW→OAKB | cant=4 | creado=2026-06-21T12:03 | deadline=2026-06-23T12:03

      LOWW-000007954 | LOWW→LKPR | cant=3 | creado=2026-06-21T13:33 | deadline=2026-06-22T13:33

      LOWW-000007955 | LOWW→VIDP | cant=3 | creado=2026-06-21T13:55 | deadline=2026-06-23T13:55

      LOWW-000007957 | LOWW→EKCH | cant=3 | creado=2026-06-21T14:56 | deadline=2026-06-22T14:56

      LOWW-000007958 | LOWW→EKCH | cant=3 | creado=2026-06-21T15:18 | deadline=2026-06-22T15:18

      LOWW-000007959 | LOWW→EBCI | cant=3 | creado=2026-06-21T15:45 | deadline=2026-06-22T15:45

      LOWW-000007964 | LOWW→OERK | cant=2 | creado=2026-06-21T22:37 | deadline=2026-06-23T22:37

      LOWW-000007965 | LOWW→EDDI | cant=2 | creado=2026-06-21T22:48 | deadline=2026-06-22T22:48

      LOWW-000007966 | LOWW→LDZA | cant=2 | creado=2026-06-21T22:03 | deadline=2026-06-22T22:03

      LOWW-000007967 | LOWW→VIDP | cant=2 | creado=2026-06-21T23:08 | deadline=2026-06-23T23:08

      LOWW-000007968 | LOWW→EKCH | cant=2 | creado=2026-06-21T23:19 | deadline=2026-06-22T23:19

      LOWW-000007969 | LOWW→VIDP | cant=2 | creado=2026-06-21T23:36 | deadline=2026-06-23T23:36

      LOWW-000007970 | LOWW→LDZA | cant=2 | creado=2026-06-21T23:41 | deadline=2026-06-22T23:41

      LOWW-000007971 | LOWW→UBBB | cant=2 | creado=2026-06-21T23:59 | deadline=2026-06-23T23:59

      OAKB-000007606 | OAKB→VIDP | cant=2 | creado=2026-06-19T20:14 | deadline=2026-06-20T20:14

      OAKB-000007607 | OAKB→VIDP | cant=2 | creado=2026-06-19T20:28 | deadline=2026-06-20T20:28

      OAKB-000007608 | OAKB→EKCH | cant=2 | creado=2026-06-19T20:42 | deadline=2026-06-21T20:42

      OAKB-000007609 | OAKB→OERK | cant=2 | creado=2026-06-19T20:03 | deadline=2026-06-20T20:03

      OAKB-000007610 | OAKB→SVMI | cant=2 | creado=2026-06-19T21:18 | deadline=2026-06-21T21:18

      OAKB-000007611 | OAKB→EHAM | cant=2 | creado=2026-06-19T21:25 | deadline=2026-06-21T21:25

      OAKB-000007612 | OAKB→UMMS | cant=2 | creado=2026-06-19T21:47 | deadline=2026-06-21T21:47

      OAKB-000007613 | OAKB→EBCI | cant=2 | creado=2026-06-19T21:58 | deadline=2026-06-21T21:58

      OAKB-000007614 | OAKB→EBCI | cant=2 | creado=2026-06-19T22:11 | deadline=2026-06-21T22:11

      OAKB-000007615 | OAKB→EKCH | cant=2 | creado=2026-06-19T22:24 | deadline=2026-06-21T22:24

      OAKB-000007616 | OAKB→SPIM | cant=2 | creado=2026-06-19T22:34 | deadline=2026-06-21T22:34

      OAKB-000007617 | OAKB→EHAM | cant=2 | creado=2026-06-19T22:55 | deadline=2026-06-21T22:55

      OAKB-000007618 | OAKB→SABE | cant=2 | creado=2026-06-19T23:09 | deadline=2026-06-21T23:09

      OAKB-000007620 | OAKB→OERK | cant=2 | creado=2026-06-19T23:35 | deadline=2026-06-20T23:35

      OAKB-000007621 | OAKB→SABE | cant=2 | creado=2026-06-19T23:47 | deadline=2026-06-21T23:47

      OAKB-000007622 | OAKB→SVMI | cant=2 | creado=2026-06-19T23:59 | deadline=2026-06-21T23:59

      OAKB-000007623 | OAKB→OPKC | cant=2 | creado=2026-06-20T00:14 | deadline=2026-06-21T00:14

      OAKB-000007624 | OAKB→EKCH | cant=2 | creado=2026-06-20T00:32 | deadline=2026-06-22T00:32

      OAKB-000007625 | OAKB→UBBB | cant=2 | creado=2026-06-20T00:47 | deadline=2026-06-21T00:47

      OAKB-000007626 | OAKB→EKCH | cant=2 | creado=2026-06-20T00:03 | deadline=2026-06-22T00:03

      OAKB-000007627 | OAKB→SBBR | cant=2 | creado=2026-06-20T01:09 | deadline=2026-06-22T01:09

      OAKB-000007628 | OAKB→OJAI | cant=2 | creado=2026-06-20T01:22 | deadline=2026-06-21T01:22

      OAKB-000007629 | OAKB→SUAA | cant=2 | creado=2026-06-20T01:37 | deadline=2026-06-22T01:37

      OAKB-000007630 | OAKB→SVMI | cant=2 | creado=2026-06-20T01:50 | deadline=2026-06-22T01:50

      OAKB-000007631 | OAKB→UMMS | cant=2 | creado=2026-06-20T02:10 | deadline=2026-06-22T02:10

      OAKB-000007632 | OAKB→UBBB | cant=2 | creado=2026-06-20T02:22 | deadline=2026-06-21T02:22

      OAKB-000007633 | OAKB→EKCH | cant=2 | creado=2026-06-20T02:40 | deadline=2026-06-22T02:40

      OAKB-000007634 | OAKB→UMMS | cant=2 | creado=2026-06-20T02:48 | deadline=2026-06-22T02:48

      OAKB-000007635 | OAKB→LBSF | cant=2 | creado=2026-06-20T03:03 | deadline=2026-06-22T03:03

      OAKB-000007636 | OAKB→OJAI | cant=2 | creado=2026-06-20T03:22 | deadline=2026-06-21T03:22

      OAKB-000007637 | OAKB→OOMS | cant=2 | creado=2026-06-20T03:30 | deadline=2026-06-21T03:30

      OAKB-000007638 | OAKB→UBBB | cant=2 | creado=2026-06-20T03:45 | deadline=2026-06-21T03:45

      OAKB-000007639 | OAKB→LKPR | cant=2 | creado=2026-06-20T03:59 | deadline=2026-06-22T03:59

      OAKB-000007640 | OAKB→SABE | cant=2 | creado=2026-06-20T04:10 | deadline=2026-06-22T04:10

      OAKB-000007642 | OAKB→EKCH | cant=2 | creado=2026-06-20T04:44 | deadline=2026-06-22T04:44

      OAKB-000007643 | OAKB→LOWW | cant=2 | creado=2026-06-20T04:57 | deadline=2026-06-22T04:57

      OAKB-000007644 | OAKB→LOWW | cant=2 | creado=2026-06-20T05:13 | deadline=2026-06-22T05:13

      OAKB-000007645 | OAKB→EHAM | cant=2 | creado=2026-06-20T05:22 | deadline=2026-06-22T05:22

      OAKB-000007646 | OAKB→UMMS | cant=2 | creado=2026-06-20T05:35 | deadline=2026-06-22T05:35

      OAKB-000007647 | OAKB→LATI | cant=2 | creado=2026-06-20T05:52 | deadline=2026-06-22T05:52

      OAKB-000007648 | OAKB→OYSN | cant=2 | creado=2026-06-20T06:05 | deadline=2026-06-21T06:05

      OAKB-000007649 | OAKB→SUAA | cant=2 | creado=2026-06-20T06:19 | deadline=2026-06-22T06:19

      OAKB-000007650 | OAKB→VIDP | cant=2 | creado=2026-06-20T06:31 | deadline=2026-06-21T06:31

      OAKB-000007651 | OAKB→LBSF | cant=2 | creado=2026-06-20T06:49 | deadline=2026-06-22T06:49

      OAKB-000007652 | OAKB→SBBR | cant=2 | creado=2026-06-20T06:59 | deadline=2026-06-22T06:59

      OAKB-000007653 | OAKB→UBBB | cant=2 | creado=2026-06-20T07:19 | deadline=2026-06-21T07:19

      OAKB-000007654 | OAKB→EHAM | cant=2 | creado=2026-06-20T07:28 | deadline=2026-06-22T07:28

      OAKB-000007656 | OAKB→OOMS | cant=1 | creado=2026-06-20T07:00 | deadline=2026-06-21T07:00

      OAKB-000007657 | OAKB→EBCI | cant=1 | creado=2026-06-20T08:13 | deadline=2026-06-22T08:13

      OAKB-000007658 | OAKB→SEQM | cant=1 | creado=2026-06-20T08:25 | deadline=2026-06-22T08:25

      OAKB-000007660 | OAKB→EBCI | cant=1 | creado=2026-06-20T08:51 | deadline=2026-06-22T08:51

      OAKB-000007661 | OAKB→SBBR | cant=1 | creado=2026-06-20T09:06 | deadline=2026-06-22T09:06

